iter	Passed	Remaining
253	400	1177
254	401	1174
255	403	1171
256	403	1167
257	404	1164
258	405	1160
259	406	1157
260	407	1153
261	408	1150
262	409	1146
263	410	1143
264	411	1140
265	411	1136
266	412	1133
267	413	1129
268	414	1126
269	415	1123
270	416	1120
271	417	1117
272	418	1114
273	419	1111
274	420	1107
275	421	1104
276	421	1101
277	422	1098
278	424	1096
279	425	1094
280	426	1091
281	427	1088
282	428	1084
283	429	1081
284	429	1078
285	431	1076
286	432	1073
287	433	1070
288	433	1067
289	434	1064
290	435	1061
291	436	1058
292	437	1055
293	438	1053
294	439	1050
295	440	1047
296	441	1044
297	442	1041
298	443	1038
299	443	1035
300	444	1032
301	445	1030
302	446	1027
303	447	1025
304	448	1022
305	449	1019
306	450	1016
307	451	1013
308	452	1011
309	453	1008
310	453	1005
311	454	1002
312	455	1000
313	456	997
314	457	994
315	458	992
316	459	989
317	460	986
318	461	984
319	462	982
320	463	980
321	464	977
322	465	974
323	466	972
324	466	969
325	467	967
326	468	964
327	469	962
328	470	959
329	471	956
330	472	954
331	473	951
332	473	949
333	474	946
334	476	944
335	477	942
336	478	940
337	478	937
338	479	935
339	480	933
340	481	930
341	482	928
342	483	925
343	484	923
344	485	920
345	485	918
346	486	916
347	487	913
348	488	911
349	489	908
350	490	906
351	491	904
352	492	902
353	493	900
354	494	897
355	495	896
356	496	894
357	497	892
358	498	890
359	499	887
360	500	885
361	501	883
362	502	880
363	502	878
364	503	876
365	504	874
366	505	872
367	506	870
368	507	868
369	508	866
370	509	863
371	510	861
372	511	859
373	512	857
374	513	855
375	513	853
376	514	850
377	515	848
378	516	846
379	517	844
380	518	842
381	519	840
382	520	838
383	521	836
384	522	834
385	523	832
386	524	830
387	525	828
388	526	826
389	526	824
390	527	822
391	528	820
392	529	817
393	530	815
394	531	813
395	532	811
396	532	809
397	533	807
398	534	805
399	535	803
400	537	802
401	537	800
402	538	798
403	539	796
404	540	794
405	541	792
406	542	789
407	542	787
408	543	785
409	544	783
410	545	781
411	546	779
412	547	778
413	548	776
414	549	774
415	550	772
416	551	770
417	552	769
418	553	767
419	554	765
420	554	763
421	555	761
422	556	759
423	557	757
424	558	755
425	559	753
426	560	751
427	560	749
428	561	747
429	562	746
430	563	744
431	564	742
432	566	741
433	567	740
434	568	738
435	569	736
436	570	734
437	571	733
438	572	731
439	573	729
440	574	727
441	574	725
442	575	724
443	576	722
444	577	720
445	578	718
446	579	717
447	580	715
448	581	714
449	582	712
450	583	710
451	584	708
452	585	706
453	586	704
454	587	703
455	588	701
456	588	699
457	589	698
458	590	696
459	591	694
460	592	692
461	593	691
462	594	689
463	595	688
464	596	686
465	597	684
466	598	683
467	599	681
468	600	679
469	601	677
470	602	676
471	602	674
472	603	672
473	604	671
474	605	669
475	606	667
476	607	665
477	608	664
478	609	662
